provinsi,kota,cluster,interpretasi_cluster,temperature_2m_mean,relative_humidity_2m_mean,precipitation_mean,rain_sum,wind_speed_10m_mean,rekomendasi_mitigasi
Papua,Jayapura,0,Wilayah basah / curah hujan tinggi,26.57220132238942,90.31919744642043,0.5766871865025079,10117.4,4.241911764705883,"Prioritas mitigasi banjir, genangan, dan monitoring drainase. Pantau potensi kelembapan tinggi dan gangguan kesehatan/lingkungan."
Sumatera Utara,Medan,0,Wilayah basah / curah hujan tinggi,25.865807481751823,89.22068886861314,0.5585196167883212,14691.3,5.897068886861314,"Prioritas mitigasi banjir, genangan, dan monitoring drainase. Pantau potensi kelembapan tinggi dan gangguan kesehatan/lingkungan."
Kalimantan Utara,Tanjung Selor,0,Wilayah basah / curah hujan tinggi,26.208977428180575,89.62118103055175,0.47734268125854995,8374.5,4.832484040127679,"Prioritas mitigasi banjir, genangan, dan monitoring drainase. Pantau potensi kelembapan tinggi dan gangguan kesehatan/lingkungan."
Kalimantan Tengah,Palangka Raya,0,Wilayah basah / curah hujan tinggi,26.563679890560877,87.25547195622435,0.4597241222070223,8065.4,5.29812471500228,"Prioritas mitigasi banjir, genangan, dan monitoring drainase."
Kalimantan Selatan,Banjarmasin,0,Wilayah basah / curah hujan tinggi,26.826618787049703,85.91489968080255,0.45904012767897856,8053.4,5.83686730506156,"Prioritas mitigasi banjir, genangan, dan monitoring drainase."
Kalimantan Barat,Pontianak,0,Wilayah basah / curah hujan tinggi,26.38081395348837,89.77462380300958,0.4463976288189695,7831.6,5.720554035567715,"Prioritas mitigasi banjir, genangan, dan monitoring drainase. Pantau potensi kelembapan tinggi dan gangguan kesehatan/lingkungan."
Bengkulu,Bengkulu,0,Wilayah basah / curah hujan tinggi,26.104231295620437,86.92712135036497,0.4145757299270073,10905.0,7.918160736009732,"Prioritas mitigasi banjir, genangan, dan monitoring drainase."
Maluku,Ambon,0,Wilayah basah / curah hujan tinggi,26.449338805289557,87.7718878248974,0.4103112175102599,7198.5,8.313645690834473,"Prioritas mitigasi banjir, genangan, dan monitoring drainase. Pantau potensi kelembapan tinggi dan gangguan kesehatan/lingkungan. Waspada angin kencang dan gangguan aktivitas luar ruang."
Kalimantan Timur,Samarinda,0,Wilayah basah / curah hujan tinggi,26.520308937528497,88.84433424532604,0.40964432284541724,7186.8,5.535487916096671,"Prioritas mitigasi banjir, genangan, dan monitoring drainase. Pantau potensi kelembapan tinggi dan gangguan kesehatan/lingkungan."
Sumatera Barat,Padang,0,Wilayah relatif stabil,25.844248023114353,85.4167046836983,0.4018476277372263,10570.2,4.587192062043796,"Kondisi relatif stabil, lakukan pemantauan cuaca rutin."
Papua Barat Daya,Sorong,0,Wilayah lembap,26.490595075239398,87.82484040127679,0.381640446876425,6695.5,8.504913360693115,Pantau potensi kelembapan tinggi dan gangguan kesehatan/lingkungan. Waspada angin kencang dan gangguan aktivitas luar ruang.
Riau,Pekanbaru,0,Wilayah lembap,26.41148874695864,87.60359641119221,0.368297597323601,9687.7,5.015807481751825,Pantau potensi kelembapan tinggi dan gangguan kesehatan/lingkungan.
Sulawesi Tengah,Palu,0,Wilayah lembap,26.855090059279526,87.64774281805745,0.36609097127222984,6422.7,4.996055631554948,Pantau potensi kelembapan tinggi dan gangguan kesehatan/lingkungan.
Sumatera Selatan,Palembang,0,Wilayah relatif stabil,26.60431873479319,86.52828467153284,0.3418909671532847,8993.1,6.261587591240875,"Kondisi relatif stabil, lakukan pemantauan cuaca rutin."
Jambi,Jambi,0,Wilayah relatif stabil,26.557462743309003,87.15275243309003,0.332588199513382,8748.4,6.190963351581509,"Kondisi relatif stabil, lakukan pemantauan cuaca rutin."
Papua Tengah,Nabire,0,Wilayah lembap,26.513332193342453,87.67390560875513,0.3191632466940264,5599.4,4.554628362973096,Pantau potensi kelembapan tinggi dan gangguan kesehatan/lingkungan.
Sulawesi Utara,Manado,1,Wilayah relatif stabil,26.43079115367077,84.12101003191974,0.30103739170086635,5281.4,5.744265845873232,"Kondisi relatif stabil, lakukan pemantauan cuaca rutin."
Maluku Utara,Sofifi,1,Wilayah panas / potensi kering,27.30891472868217,84.04907660738714,0.297765617875057,5224.0,7.331817145462836,Waspada suhu tinggi dan kebutuhan air bersih.
Sulawesi Tenggara,Kendari,1,Wilayah relatif stabil,26.370075239398084,86.41165070679435,0.29661992704058365,5203.9,5.614158686730506,"Kondisi relatif stabil, lakukan pemantauan cuaca rutin."
Kepulauan Bangka Belitung,Pangkalpinang,1,Wilayah panas / potensi kering,27.121431828545372,83.72777017783858,0.2872720018239854,5039.9,9.691757865937074,Waspada suhu tinggi dan kebutuhan air bersih. Waspada angin kencang dan gangguan aktivitas luar ruang.
Papua Barat,Manokwari,1,Wilayah relatif stabil,26.50080369357045,85.45542635658914,0.28664500683994526,5028.9,6.60376196990424,"Kondisi relatif stabil, lakukan pemantauan cuaca rutin."
Papua Selatan,Merauke,1,Wilayah relatif stabil,26.62768467852257,82.40817373461012,0.28605791153670773,5018.6,12.708612631098951,Waspada angin kencang dan gangguan aktivitas luar ruang.
Lampung,Bandar Lampung,1,Wilayah relatif stabil,25.91843935248518,85.02325581395348,0.26089261285909715,4577.1,6.7011684906520745,"Kondisi relatif stabil, lakukan pemantauan cuaca rutin."
Sulawesi Selatan,Makassar,1,Wilayah panas / potensi kering,27.378345873233016,79.1422138622891,0.257375740994072,4515.4,7.178419972640219,Waspada suhu tinggi dan kebutuhan air bersih.
DKI Jakarta,Jakarta,1,Wilayah panas / potensi kering,27.333857729138167,79.72229822161422,0.2523768809849521,4427.7,6.385824213406292,Waspada suhu tinggi dan kebutuhan air bersih.
DI Yogyakarta,Yogyakarta,1,Wilayah relatif stabil,25.94517213862289,81.28231874145007,0.2489626082991336,4367.8,6.256691746466028,"Kondisi relatif stabil, lakukan pemantauan cuaca rutin."
Banten,Serang,1,Wilayah panas / potensi kering,27.06279639762882,79.50530095759234,0.24827861377108984,4355.8,5.714432284541724,Waspada suhu tinggi dan kebutuhan air bersih.
Aceh,Banda Aceh,1,Wilayah relatif stabil,26.68631386861314,79.8981903892944,0.24177691605839416,6359.7,9.133181265206813,Waspada angin kencang dan gangguan aktivitas luar ruang.
Jawa Barat,Bandung,1,Wilayah relatif stabil,23.11075581395349,78.23198814409484,0.2120611035111719,3720.4,6.416501367989056,"Kondisi relatif stabil, lakukan pemantauan cuaca rutin."
Sulawesi Barat,Mamuju,1,Wilayah panas / potensi kering,27.358948928408573,82.17002963976289,0.20673734610123118,3627.0,7.029103967168263,Waspada suhu tinggi dan kebutuhan air bersih.
Gorontalo,Gorontalo,1,Wilayah panas / potensi kering,27.118091655266756,80.61804605563155,0.2019094847241222,3542.3,5.864409484724122,Waspada suhu tinggi dan kebutuhan air bersih.
Papua Pegunungan,Wamena,2,Wilayah basah / curah hujan tinggi,18.71371409028728,82.31486548107615,0.43695280437756495,7665.9,3.498614911080711,"Prioritas mitigasi banjir, genangan, dan monitoring drainase."
Kepulauan Riau,Tanjung Pinang,3,Wilayah panas / potensi kering,27.638411992704057,82.41267669858641,0.30088919288645694,5278.8,11.840891472868217,Waspada suhu tinggi dan kebutuhan air bersih. Waspada angin kencang dan gangguan aktivitas luar ruang.
Jawa Timur,Surabaya,3,Wilayah panas / potensi kering,27.988793889648885,75.41843365253078,0.19760031919744642,3466.7,9.466261969904242,Waspada suhu tinggi dan kebutuhan air bersih. Waspada angin kencang dan gangguan aktivitas luar ruang.
Bali,Denpasar,3,Wilayah relatif stabil,26.16902074783402,83.20080939352485,0.19725262197902416,3460.6,10.576624487004104,Waspada angin kencang dan gangguan aktivitas luar ruang.
Jawa Tengah,Semarang,3,Wilayah panas / potensi kering,27.804719562243502,74.33162334701322,0.18218764249886002,3196.3,8.196466028271773,Waspada suhu tinggi dan kebutuhan air bersih.
Nusa Tenggara Barat,Mataram,3,Wilayah relatif stabil,26.777354081167353,79.39483584131327,0.1816689466484268,3187.2,10.056121751025993,Waspada angin kencang dan gangguan aktivitas luar ruang.
Nusa Tenggara Timur,Kupang,3,Wilayah relatif stabil,26.89888850889193,74.41170770633835,0.14205996352029185,2492.3,13.40250797993616,Waspada angin kencang dan gangguan aktivitas luar ruang.
