tahun,bulan,harga_rata_rata,curah_hujan_rata_rata,suhu_rata_rata,kelembapan_rata_rata,jumlah_data
2022,1,0.2922235023041475,0.2922235023041475,25.72162058371736,86.08102918586789,5208
2022,2,0.3346938775510204,0.3346938775510204,25.940093537414967,84.85671768707483,4704
2022,3,0.3238863287250384,0.3238863287250384,26.32642089093702,85.63440860215054,5208
2022,4,0.34097222222222223,0.34097222222222223,26.328670634920634,86.74722222222222,5040
2022,5,0.26666666666666666,0.26666666666666666,26.80537634408602,85.35733486943164,5208
2022,6,0.4285515873015873,0.4285515873015873,25.864305555555557,87.31309523809524,5040
2022,7,0.2701036866359447,0.2701036866359447,26.320506912442397,85.05875576036867,5208
2022,8,0.39886712749615977,0.39886712749615977,25.93419738863287,85.89938556067588,5208
2022,9,0.36654761904761907,0.36654761904761907,25.916130952380954,85.49146825396825,5040
2022,10,0.5272465437788019,0.5272465437788019,25.58709677419355,88.68394777265745,5208
2022,11,0.5968849206349207,0.5968849206349207,25.557123015873014,89.26488095238095,5040
2022,12,0.5202380952380953,0.5202380952380953,25.3418202764977,87.9646697388633,5208
2023,1,0.37550933786078095,0.37550933786078095,25.60680531975099,86.67646434634975,28272
2023,2,0.442124843358396,0.442124843358396,25.63218984962406,86.89743890977444,25536
2023,3,0.41132215619694396,0.41132215619694396,25.666489813242784,87.40739954725524,28272
2023,4,0.3313961988304094,0.3313961988304094,26.170380116959063,86.78925438596491,27360
2023,5,0.2719439728353141,0.2719439728353141,26.562015421618565,84.76358234295417,28272
2023,6,0.2560087719298246,0.2560087719298246,26.279374999999998,84.30365497076023,27360
2023,7,0.25165181097906053,0.25165181097906053,26.068753537068478,82.40453452178834,28272
2023,8,0.14911573288058858,0.14911573288058858,26.370939445387663,78.23687747594794,28272
2023,9,0.1716812865497076,0.1716812865497076,26.57721125730994,76.78369883040936,27360
2023,10,0.17703735144312394,0.17703735144312394,27.1896682229768,78.24617996604414,28272
2023,11,0.32991959064327486,0.32991959064327486,26.820456871345026,83.59667397660819,27360
2023,12,0.3777306168647425,0.3777306168647425,26.56397495755518,85.3375778155065,28272
2024,1,0.4870366440294284,0.4870366440294284,26.266659592529713,87.0848896434635,28272
2024,2,0.39354582577132485,0.39354582577132485,26.499119026013307,86.25737295825772,26448
2024,3,0.40716610073571025,0.40716610073571025,26.64816779852858,86.26046972269383,28272
2024,4,0.45865497076023387,0.45865497076023387,26.751750730994154,87.478033625731,27360
2024,5,0.3808856819468025,0.3808856819468025,26.920589275608375,86.31575410299943,28272
2024,6,0.3146198830409357,0.3146198830409357,26.26732090643275,85.35405701754387,27360
2024,7,0.18940294284097342,0.18940294284097342,26.22189091680815,81.47913129598189,28272
2024,8,0.2517402376910017,0.2517402376910017,26.257940718732314,80.63872382569326,28272
2024,9,0.21161184210526315,0.21161184210526315,26.826312134502924,79.56758040935672,27360
2024,10,0.24512945670628183,0.24512945670628183,26.970893463497454,80.51959535936616,28272
2024,11,0.4166191520467836,0.4166191520467836,26.5528581871345,85.18874269005848,27360
2024,12,0.4277765987549519,0.4277765987549519,26.474936332767403,85.79566355404641,28272
